"id","correspondences"
"c_10","end of one cycle and the beginning of another, time to move into action"
"p_10","end of one cycle and the beginning of another, prosperity engenders creativity"
"w_11","youthful inexperience, doubt in one's abilities, undifferentiated energy needing to be channeled, need for perserverence"
"s_11","youthful inexperience, doubt in one's abilities, delicacy and elegance, diplomacy, hesitation before the duality of concepts, fear to commit, hesitation, lack of self-confidence"
"c_11","youthful inexperience, doubt in one's abilities, shyness, fear and anxiety, lack of trust in life"
"p_11","youthful inexperience, doubt in one's abilities, questioning one's place in the world, risk aversion"
"w_12","between security and temptation, pragmatic, danger of excess and losing oneself in one's element, sensual and seductive individual, satisfaction which comes from living on one's creativity"
"s_12","between security and temptation, pragmatic, danger of excess and losing oneself in one's element, a powerful intellect, confidence in communication, extreme rationialism"
"c_12","between security and temptation, pragmatic, danger of excess and losing oneself in one's element, familial love and a good mother, a charitable individual, danger of jealousy or possessiveness"
"p_12","between security and temptation, pragmatic, danger of excess and losing oneself in one's element, extreme material security"
"w_13","seeking detatchment after realization, danger of becoming complacent, young and active energy, a reknowed artist or creative, a warrior or a martial artist"
"s_13","seeking detatchment after realization, danger of becoming complacent, young and active energy, a skilled communicator, someone capable of summing up a situation with great intellectual serenity, one who puts thoughts into action in the world, legal and policatical corruption"
"c_13","seeking detatchment after realization, danger of becoming complacent, old and receptive energy, someone with vast emotional experience and a big heart, a counselor or therapist, could represent an alcoholic or someone suffering from extreme jealousy"
"p_13","seeking detatchment after realization, danger of becoming complacent, old and receptive energy, power based on matter, a successful businessman, a truly rich individual, can indicate fraud or speculation"
"w_14","attainment of perfection in a given field, movement into a new field of energy, the closing of a cycle, perfect harmony with and mastery of desire, abandonment of worldly pleasure"
"s_14","attainment of perfection in a given field, movement into a new field of energy, the closing of a cycle, moving beyond the intellect onto the path of love and spirit, a prophet, abearer of good news, the solution of a problem"
"c_14","attainment of perfection in a given field, movement into a new field of energy, the closing of a cycle, perfect love becoming manifest in the world, redemption, a humanitarian effort"
"p_14","attainment of perfection in a given field, movement into a new field of energy, the closing of a cycle, moving beyond matter into creativity, creation of something beyond material considerations, a journey or a move, a quest connected to one's place in the world"
"t_21","great and total realization"
